OBJECTID,Major,Minor,UniqID,DSID,Flow,RiverSeg,TidalWater,MajMin,Region,Watershed,MajBas,MinBas,RiverSimu,RiverName,CBSEG_92,FIPS,ST,CNTYNAME,CBW,FIPS_NHL,PRECIP,MEANPRECIP,LndRvrSeg,Acres,HGMR,Shape_Length,Shape_Area
218,E,M,4880,0,0,EM0_4880_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHOMH2,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_4880_0000,11101.13787,CPD,68897.42975,73751865.25
219,E,M,4881,0,0,EM0_4881_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHOMH2,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_4881_0000,9776.112178,CPL,107808.9409,64857241.33
220,E,M,4882,0,0,EM0_4882_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHOMH2,24041,MD,TALBOT,Y,N24041,N,1119,N24041EM0_4882_0000,12332.96667,CPD,109541.0286,81944558.83
221,E,M,4883,0,0,EM0_4883_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,LCHMH,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_4883_0000,9107.399649,CPL,177301.1766,60426017.39
222,E,M,4884,0,0,EM0_4884_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,LCHMH,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_4884_0000,3343.00254,CPL,41662.42342,22171635.18
223,E,M,4885,0,0,EM0_4885_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,LCHMH,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_4885_0000,11908.50964,CPL,133926.0938,78906374.18
224,E,M,4886,0,0,EM0_4886_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,LCHMH,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_4886_0000,5304.375014,CPL,36744.11361,35105269.31
225,E,M,5261,0,0,EM0_5261_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,LCHMH,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_5261_0000,6733.621143,CPL,134254.3985,44491528.98
226,E,M,4888,0,0,EM0_4888_0000,N,EM,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,"Middle Eastern Shore, including Choptank River","Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHOMH1,24019,MD,DORCHESTER,Y,N24019,N,1118,N24019EM0_4888_0000,3684.750244,CPL,100396.8472,24466755.71
227,E,U,2650,1,1,EU1_2650_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Big Elk Creek,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU1_2650_0001,6883.832036,PCR,34227.00305,47138771.87
228,E,U,2650,1,1,EU1_2650_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Big Elk Creek,ELKOH,42029,PA,CHESTER,Y,N42029,N,1193,N42029EU1_2650_0001,27170.99111,PCR,76209.78284,186597748.9
229,E,U,2810,1,1,EU1_2810_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Little Northeast Creek,NORTF,24015,MD,CECIL,Y,N24015,N,1143,N24015EU1_2810_0001,30639.9848,PCR,69931.45025,209621713.6
230,E,U,2810,1,1,EU1_2810_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Little Northeast Creek,NORTF,42029,PA,CHESTER,Y,N42029,N,1193,N42029EU1_2810_0001,5105.148033,PCR,27883.76724,35004228.47
231,E,U,2940,0,0,EU0_2940_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB1TF,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_2940_0000,13744.00849,PCR,77450.40529,93912443.5
232,E,U,2941,0,0,EU0_2941_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB1TF,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_2941_0000,3455.266405,CPU,36787.89679,23590153.82
233,E,U,2980,0,1,EU1_2980_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU1_2980_0000,15689.93367,PCR,61861.89434,107352052.7
234,E,U,2980,0,1,EU1_2980_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,42029,PA,CHESTER,Y,N42029,N,1193,N42029EU1_2980_0000,7957.704972,PCR,40715.97255,54580191.78
235,E,U,2981,0,1,EU1_2981_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU1_2981_0000,4114.138959,CPD,23016.15196,28126972.14
236,E,U,2981,0,1,EU1_2981_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,10003,DE,NEW CASTLE,Y,N10003,N,1120,N10003EU1_2981_0000,198.4966704,CPD,5189.139296,1356849.659
237,E,U,2982,0,1,EU1_2982_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU1_2982_0000,2548.352637,CPD,18747.25455,17407203.18
238,E,U,2983,0,1,EU1_2983_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU1_2983_0000,4118.295616,CPD,26384.8354,28110673.86
239,E,U,2983,0,1,EU1_2983_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,10003,DE,NEW CASTLE,Y,N10003,N,1120,N10003EU1_2983_0000,1275.01147,CPD,13512.40867,8706319.207
240,E,U,2984,0,1,EU1_2984_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU1_2984_0000,10028.90965,CPD,94172.6626,68420218.78
241,E,U,2985,0,0,EU0_2985_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_2985_0000,3277.468029,CPD,20388.13931,22385170.26
242,E,U,3050,0,0,EU0_3050_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,NORTF,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3050_0000,9752.287985,CPD,82395.4088,66551178.63
243,E,U,3200,0,0,EU0_3200_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,BOHOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3200_0000,9273.955131,CPD,53966.88767,63031977.82
244,E,U,3202,0,0,EU0_3202_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,BOHOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3202_0000,2501.791423,CPD,31775.21498,17029090.16
245,E,U,3203,0,0,EU0_3203_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,BOHOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3203_0000,7696.61084,CPD,61432.37297,52321747.75
246,E,U,3300,0,0,EU0_3300_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,ELKOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3300_0000,7941.240511,CPD,67552.03846,53983920.25
247,E,U,3360,0,0,EU0_3360_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3360_0000,7274.333115,CPD,69088.56713,49383005.23
248,E,U,3360,0,0,EU0_3360_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3360_0000,8639.383774,CPD,62641.13756,58568498.53
249,E,U,3361,0,0,EU0_3361_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3361_0000,2816.082567,CPD,23159.86661,19120875.72
250,E,U,3361,0,0,EU0_3361_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3361_0000,2971.375569,CPD,20525.28969,20157668.85
251,E,U,3361,0,0,EU0_3361_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,10003,DE,NEW CASTLE,Y,N10003,N,1120,N10003EU0_3361_0000,5242.866643,CPD,33306.42648,35585869.65
252,E,U,3362,0,0,EU0_3362_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3362_0000,4827.052859,CPD,36556.56515,32769336.33
253,E,U,3362,0,0,EU0_3362_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3362_0000,10317.46434,CPD,58646.97284,69952823.64
254,E,U,3363,0,0,EU0_3363_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24015,MD,CECIL,Y,N24015,N,1143,N24015EU0_3363_0000,2322.071095,CPD,27606.50899,15763443.99
255,E,U,3363,0,0,EU0_3363_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,SASOH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3363_0000,9461.048051,CPD,83443.24433,64147023.33
256,E,U,3520,1,2,EU2_3520_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Chester River Andover Branch,CHSTF,24029,MD,KENT,Y,N24029,N,1107,N24029EU2_3520_0001,23399.92917,CPD,62780.22956,158398256.9
257,E,U,3520,1,2,EU2_3520_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Chester River Andover Branch,CHSTF,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU2_3520_0001,12856.51867,CPD,60449.066,86835566.05
258,E,U,3520,1,2,EU2_3520_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Chester River Andover Branch,CHSTF,10003,DE,NEW CASTLE,Y,N10003,N,1120,N10003EU2_3520_0001,6845.069027,CPU,33998.47877,46384631.47
259,E,U,3520,1,2,EU2_3520_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Chester River Andover Branch,CHSTF,10001,DE,KENT,Y,N10001,N,1115,N10001EU2_3520_0001,19204.77969,CPU,61149.27823,129803940.2
260,E,U,3570,0,0,EU0_3570_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB2OH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3570_0000,13663.77971,CPD,86821.24062,92589775.58
261,E,U,3571,0,0,EU0_3571_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB2OH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3571_0000,7645.722952,CPL,69545.64516,51751200.26
262,E,U,3572,0,0,EU0_3572_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB2OH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3572_0000,3369.374197,CPD,25205.9309,22798970.43
263,E,U,3573,0,0,EU0_3573_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB2OH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3573_0000,8638.354127,CPD,64582.68545,58386607.06
264,E,U,3700,0,0,EU0_3700_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSOH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3700_0000,3862.817068,CPD,53240.03994,26089003.09
265,E,U,3700,0,0,EU0_3700_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSOH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_3700_0000,7883.2364,CPD,44384.49975,53226452.6
266,E,U,3720,0,0,EU0_3720_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Chester River,CHSTF,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3720_0000,11188.10941,CPD,52989.25352,75692505.88
267,E,U,3720,0,0,EU0_3720_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Chester River,CHSTF,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_3720_0000,6813.080453,CPD,59516.22296,46039200.12
268,E,U,3721,0,0,EU0_3721_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Chester River,CHSOH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_3721_0000,4688.612254,CPD,33844.53038,31663647.99
269,E,U,3722,0,0,EU0_3722_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSTF,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_3722_0000,14990.88137,CPD,48213.98014,101152964.7
270,E,U,3724,0,0,EU0_3724_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSOH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3724_0000,16669.37606,CPD,63781.51308,112803216.8
271,E,U,3725,0,0,EU0_3725_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSOH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_3725_0000,4027.190737,CPD,26460.53547,27216720.69
272,E,U,3830,1,0,EU0_3830_0001,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,Simulated River,Chester River Unicorn Branch,CHSTF,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_3830_0001,12845.12219,CPD,55569.92194,86721390.82
273,E,U,4010,0,0,EU0_4010_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_4010_0000,7239.111086,CPD,32482.01825,48893007.73
274,E,U,4011,0,0,EU0_4011_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_4011_0000,5788.553969,CPL,86541.7294,39035359.1
275,E,U,4012,0,0,EU0_4012_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_4012_0000,2978.163973,CPD,18739.12715,20107236.2
276,E,U,4013,0,0,EU0_4013_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_4013_0000,7896.589823,CPL,113570.7858,53245075.78
277,E,U,4014,0,0,EU0_4014_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB3MH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_4014_0000,6436.055834,CPL,60514.5014,43416077.3
278,E,U,4015,0,0,EU0_4015_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CB2OH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_4015_0000,3710.178305,CPL,30248.75714,25063863.13
279,E,U,4030,0,0,EU0_4030_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSOH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4030_0000,34803.66249,CPD,119254.3326,234502525.9
280,E,U,4122,0,0,EU0_4122_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24029,MD,KENT,Y,N24029,N,1107,N24029EU0_4122_0000,10051.79453,CPL,170008.2326,67681966.76
281,E,U,4122,0,0,EU0_4122_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4122_0000,13008.13118,CPL,191064.2936,87425761.7
282,E,U,4121,0,0,EU0_4121_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4121_0000,1425.858386,CPL,40095.47797,9569131.476
283,E,U,4260,0,0,EU0_4260_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4260_0000,16907.36086,CPD,46504.14334,113616367.7
284,E,U,4470,0,0,EU0_4470_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,EASMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4470_0000,15437.15562,CPD,63574.91408,103541953.8
285,E,U,4470,0,0,EU0_4470_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,EASMH,24041,MD,TALBOT,Y,N24041,N,1119,N24041EU0_4470_0000,3577.057346,CPD,30485.97674,23964806.69
286,E,U,4471,0,0,EU0_4471_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4471_0000,7054.410437,CPD,73379.47109,47458139.55
287,E,U,4472,0,0,EU0_4472_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,CHSMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4472_0000,2564.723398,CPD,18516.07161,17229420.24
288,E,U,4473,0,0,EU0_4473_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,EASMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4473_0000,8767.789501,CPL,100943.9843,58807753.21
289,E,U,4474,0,0,EU0_4474_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,EASMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4474_0000,4877.93247,CPL,116409.2643,32653675.04
290,E,U,4474,0,0,EU0_4474_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,EASMH,24041,MD,TALBOT,Y,N24041,N,1119,N24041EU0_4474_0000,5944.214853,CPL,76369.93322,39751983.69
291,E,U,4475,0,0,EU0_4475_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,EASMH,24035,MD,QUEEN ANNES,Y,N24035,N,1099,N24035EU0_4475_0000,591.5842092,CPD,9100.832523,3964989.038
292,E,U,4475,0,0,EU0_4475_0000,N,EU,Chesapeake Bay Watershed,Eastern Shore of Chesapeake Bay,Eastern Shore of Chesapeake Bay,Upper Eastern Shore,"Direct Drainage, CB",Drains to Tidal Water - No River Simulation,EASMH,24041,MD,TALBOT,Y,N24041,N,1119,N24041EU0_4475_0000,11393.82151,CPD,58561.6638,76275072.94
