OBJECTID_12,Spring w Flow,OID_,DEQ_NUMBER,SINGLE_MULTIPLE_TREND,LATNAD83DD,LONGNAD83D,DATE_MEASURED,TIME_MEASURED,DISCHARGE_METHOD,METER_TYPE,DATA_SOURCE,DISCHARGE_GPM,DISCHARGE_CFS,MGD,Temp_Water_C,Temp_Air_C,SPECIFIC_CONDUCTIVITY_uS_cm_C,CONDUCTIVITY_uS_cm,TDS_g_L,Salinity_ppt,DO_Conc_mg_L,pH,Acid_Neutralizing_Capacity_mg_L_Field_Titration,Bicarbonate_mg_L_Field_Titration,Carbonate_mg_L_Field_Titration,Chloride_Filtered_mg_L,FIELD_COMMENTS,OBJECTID_1,OBJECTID,DEQ_NUMBER_sites,SPRING_NAME,USGS_SITE_ID,VWUDS_MPID,OTHER_ID,SITE_COMMENTS,DATE_INVENTORIED_INITIAL,NUMBER_OF_OPENINGS,ALTITUDE_FT_AMSL,NED_10M_PROJECTED_ELEVATION_FT_AMSL,LATITUDE_NAD83_DMS,LONGITUDE_NAD83_DMS,LATNAD83DD_sites,LONGNAD83DD_sites,Site_Photo_Field_Notes,COUNTY,TOPO_SETTING,NATIONAL_WATER_USE,IMPROVEMENTS,SPHERE_OF_DISCHARGE,OWNER,DATA_COLLECTOR,HDATUM,LATLONGSOURCE,QUAD_NAME,GENERAL_LITHOLOGY,USGS_500K_GEOL_LABEL,USGS_500K_GEOLOGY,USGS_500K_GEOL_UNIT_LINK,USGS_500K_GEOL_AGE,USGS_500K_GEOL_ROCKTYPE1,USGS_500K_GEOL_ROCKTYPE2,USGS_500K_GEOL_FORMATION_NAME,USGS_500K_GEOL_FORMATION_PERIOD,MAJOR_BASIN_NAME,BASIN_NAME,BASIN_CODE,USGS_HUC_CODE,HUC_NAME,HUC_DRAIN,VDOF_LAND_USE,PROVINCE,PROVINCE_SECTION
5,1,1136,101-00852,SINGLE,38.21457579,-78.7430783,8/7/1985,,ESTIMATED,,SWCB,4,0.01,0.01,10,-9999,13,-9999,-9999,-9999,-9999,5.75,-9999,-9999,-9999,-9999,,1193,8,101-00852,BLACKROCK SPRING,,,DGIF: 4,USED BY HIKERS ALONG APPALACHIAN TRAIL.  LOCATION COULD NOT BE VERIFIED USING VGIN IMAGERY.,0,0,0,2642,381252.4728,784435.0819,38.21457579,-78.7430783,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,BROWNS COVE,SILICICLASTIC,[ch,[ch,VACAch;0,Cambrian,quartzite,conglomerate,Chilhowee Group,Cambrian,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,MOORMANS RIVER,H,Hardwood Forest,BLUE RIDGE,NORTHERN
740,106,2706,121-00006,TREND,39.1647,-77.97836389,10/27/2005,1705,MEASURED,FLUME,USGS,3.59,0.01,0.01,12.6,-9999,39,-9999,-9999,-9999,9,5.7,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
741,106,2702,121-00006,TREND,39.1647,-77.97836389,10/20/2004,1000,MEASURED,FLUME,USGS,2.69,0.01,0.00,12.4,-9999,36,-9999,-9999,-9999,8.4,5.5,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
742,106,2709,121-00006,TREND,39.1647,-77.97836389,7/26/2006,1000,MEASURED,FLUME,USGS,2.69,0.01,0.00,12.3,-9999,33,-9999,-9999,-9999,8.7,5.5,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
743,106,2717,121-00006,TREND,39.1647,-77.97836389,7/30/2008,1110,MEASURED,FLUME,USGS,1.8,0,0.00,12.5,-9999,33,-9999,-9999,-9999,8.2,5.8,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
744,106,2710,121-00006,TREND,39.1647,-77.97836389,10/26/2006,1121,MEASURED,FLUME,USGS,1.35,0,0.00,11.8,-9999,49,-9999,-9999,-9999,1.1,5.8,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
745,106,2713,121-00006,TREND,39.1647,-77.97836389,8/2/2007,1045,MEASURED,FLUME,USGS,0.9,0,0.00,12.3,-9999,28,-9999,-9999,-9999,8.3,5.5,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
746,106,2718,121-00006,TREND,39.1647,-77.97836389,10/23/2008,1125,MEASURED,FLUME,USGS,0.9,0,0.00,11.2,-9999,39,-9999,-9999,-9999,9.1,6.2,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
747,106,2715,121-00006,TREND,39.1647,-77.97836389,2/29/2008,1144,MEASURED,FLUME,USGS,0.45,0,0.00,8.5,-9999,67,-9999,-9999,-9999,10.7,8,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
748,106,2714,121-00006,TREND,39.1647,-77.97836389,10/23/2007,1533,MEASURED,FLUME,USGS,0,0,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",328,425,121-00006,LEE SPRING,390947077583901_47XS  4,,DGIF: 423,,19870629,0,580,582,390952.92,775842.11,39.1647,-77.97836389,No,CLARKE,UPLAND DRAW,,BOXED BASIN,SUBAERIAL,"unknown, ,",USGS,WGS84,PPGPS,BERRYVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,LOWER SHENANDOAH RIVER,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
753,107,2355,121-00150,TREND,39.08865,-78.04298056,4/6/2004,1131,MEASURED,,USGS,1371.53,3.06,1.98,12.2,-9999,561,-9999,-9999,-9999,5.9,6.8,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
754,107,2348,121-00150,TREND,39.08865,-78.04298056,3/3/2003,1235,MEASURED,,USGS,1292.54,2.88,1.86,12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
755,107,2354,121-00150,TREND,39.08865,-78.04298056,1/22/2004,1155,MEASURED,,USGS,1283.57,2.86,1.85,12.5,-9999,550,-9999,-9999,-9999,5.9,6.9,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
756,107,2349,121-00150,TREND,39.08865,-78.04298056,4/16/2003,1600,MEASURED,,USGS,1274.59,2.84,1.84,12.2,-9999,572,-9999,-9999,-9999,7.1,6.6,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
757,107,2357,121-00150,TREND,39.08865,-78.04298056,10/19/2004,1415,MEASURED,,USGS,1166.88,2.6,1.68,12.4,-9999,588,-9999,-9999,-9999,5.5,7,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
758,107,2356,121-00150,TREND,39.08865,-78.04298056,7/13/2004,1313,MEASURED,,USGS,1162.39,2.59,1.67,12.2,-9999,568,-9999,-9999,-9999,4.8,7.1,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
759,107,2353,121-00150,TREND,39.08865,-78.04298056,10/27/2003,1530,MEASURED,,USGS,1086.1,2.42,1.56,12.5,-9999,570,-9999,-9999,-9999,5.8,7,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
760,107,2360,121-00150,TREND,39.08865,-78.04298056,7/19/2005,1322,MEASURED,,USGS,1043.91,2.33,1.50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
761,107,2359,121-00150,TREND,39.08865,-78.04298056,4/28/2005,1245,MEASURED,,USGS,907.02,2.02,1.31,12.3,-9999,595,-9999,-9999,-9999,7.6,7,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
762,107,2365,121-00150,TREND,39.08865,-78.04298056,7/24/2006,1547,MEASURED,,USGS,906.58,2.02,1.31,12.4,-9999,621,-9999,-9999,-9999,6.3,6.8,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
763,107,2372,121-00150,TREND,39.08865,-78.04298056,4/22/2008,1030,MEASURED,,USGS,893.11,1.99,1.29,12.5,-9999,641,-9999,-9999,-9999,6.9,6.9,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
764,107,2351,121-00150,TREND,39.08865,-78.04298056,7/29/2003,945,MEASURED,,USGS,870.67,1.94,1.25,12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"SOURCE: USGS SIR 2010-5112 D.L. NELMS AND MOBERG R.M. - HYDROGEOLOGY AND GROUNDWATER AVAILABILITY IN CLARKE COUNTY, VIRGINIA",331,428,121-00150,PROSPECT HILL SPRING,390519078023701_46WS  3,_3.9051907802e+012,"PWSID 2043250, DGIF: 402","ALSO KNOWN AS BOYCE-MILLWOOD SPRING, SINCE IT SUPPLIES BOTH COMMUNITIES, ALSO REFERRED TO AS PLEASANT HILL SPRING.  3800' NW OF INTERSECTION OF RTE 255/620, 3600' S INTERSECTION OF RTE 620/617.",0,0,430,529,390519.14,780234.73,39.08865,-78.04298056,YES,CLARKE,HILLSIDE,PUBLIC WATER SUPPLY,,,"CLARKE COUNTY SANITARY AUTHORITY, ,",SWCB,WGS84,PPGPS,BOYCE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070007,SHENANDOAH RIVER/SPOUT RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
